Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_MSA,ORG_A102421,ORG_B102421,ORG_C102421,ORG_D102421,ORG_E102421,ORG_V102421,ORG_W102421,ORG_X102421,ORG_Y102421,ORG_F102421,ORG_G102421,ORG_H102421,ORG_I102421,ORG_J102421,ORG_K102421,ORG_L102421,ORG_M102421,ORG_N102421,ORG_O102421,ORG_P102421,ORG_R102421,ORG_S102421,ORG_T102421,ORG_U102421
"01001","Autauga County","Autauga County, Alabama","00","01","001",,10047,148,,,,,,,,4,0.04,0,146,1.47,405,4.2,2,1.37,11,8.03,18.2,0.27,18201.09,268.12
"01003","Baldwin County","Baldwin County, Alabama","00","01","003",,37258,552,,,,,,,,13,0.03,0,171,0.46,1150,3.18,12,2.22,63,12.88,17.9,0.27,17903.29,265.25
"01005","Barbour County","Barbour County, Alabama","00","01","005",,3578,76,,,,,,,,1,0.03,0,22,0.62,146,4.25,1,1.33,6,8.57,13.88,0.29,13877.9,294.78
"01007","Bibb County","Bibb County, Alabama","00","01","007",,4252,86,,,,,,,,1,0.02,0,35,0.83,179,4.39,0,0,6,7.5,18.88,0.38,18875.13,381.76
"01009","Blount County","Blount County, Alabama","00","01","009",,10197,176,,,,,,,,5,0.05,0,95,0.94,548,5.68,2,1.15,20,12.82,17.69,0.31,17689.31,305.32
"01011","Bullock County","Bullock County, Alabama","00","01","011",,1517,44,,,,,,,,1,0.07,0,0,0,29,1.95,0,0,2,4.76,14.65,0.43,14654.17,425.04
"01013","Butler County","Butler County, Alabama","00","01","013",,3264,96,,,,,,,,1,0.03,0,16,0.49,100,3.16,2,2.13,6,6.67,16.3,0.48,16299.63,479.4
"01015","Calhoun County","Calhoun County, Alabama","00","01","015",,22232,488,,,,,,,,7,0.03,0,73,0.33,1191,5.66,18,3.83,83,20.49,19.32,0.42,19315.71,423.99
"01017","Chambers County","Chambers County, Alabama","00","01","017",,5610,142,,,,,,,,3,0.05,0,50,0.9,240,4.47,0,0,9,6.77,16.58,0.42,16584.88,419.8
"01019","Cherokee County","Cherokee County, Alabama","00","01","019",,3028,60,,,,,,,,0,0,0,28,0.93,145,5.03,3,5.26,7,13.21,11.71,0.23,11712.37,232.08
"01021","Chilton County","Chilton County, Alabama","00","01","021",,6645,162,,,,,,,,4,0.06,0,53,0.8,303,4.78,2,1.25,19,13.29,15.13,0.37,15126.34,368.77
"01023","Choctaw County","Choctaw County, Alabama","00","01","023",,885,27,,,,,,,,0,0,0,15,1.72,152,20.74,0,0,1,3.85,6.77,0.21,6768.64,206.5
